"GoldLabel","Premise","Hypothesis","PairID","CZpremise","CZhypothesis"
"entailment","A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.","A man is wearing a blue shirt","24467676.jpg#1r1e","Muž v modré košili stojící před garážovou konstrukcí pomalovanou geometrickými vzory.","Muž má na sobě modrou košili"
"contradiction","A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.","A man is wearing a black shirt","24467676.jpg#1r1c","Muž v modré košili stojící před garážovou konstrukcí pomalovanou geometrickými vzory.","Muž má na sobě černou košili"
"entailment","Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.","A child is reaching to touch the propeller of a plane.","3667788497.jpg#0r1e","Pod modrou oblohou s bílými mraky se dítě natáhne, aby se dotklo vrtule letadla stojícího na travnatém poli.","Dítě se natahuje, aby se dotklo vrtule letadla."
"neutral","Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.","A child is reaching to touch the propeller out of curiosity.","3667788497.jpg#0r1n","Pod modrou oblohou s bílými mraky se dítě natáhne, aby se dotklo vrtule letadla stojícího na travnatém poli.","Ze zvědavosti se k vrtuli natahuje dítě."
"contradiction","Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.","A child is playing with a ball.","3667788497.jpg#0r1c","Pod modrou oblohou s bílými mraky se dítě natáhne, aby se dotklo vrtule letadla stojícího na travnatém poli.","Dítě si hraje s míčem."
"entailment","A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.","A woman is doing a cartwheel.","3948003394.jpg#1r1e","Žena dělá hvězdu, zatímco má bikiny v písku vedle pláže.","Žena dělá hvězdu."
"contradiction","A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.","A woman is fixing her home.","3948003394.jpg#1r1c","Žena dělá hvězdu, zatímco má bikiny v písku vedle pláže.","Žena si opravuje domov."
"contradiction","A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.","A woman is doing a cartwheel and falls on her head.","3948003394.jpg#1r1n","Žena dělá hvězdu, zatímco má bikiny v písku vedle pláže.","Žena dělá přemet a spadne na hlavu."
"entailment","Two men on bicycles competing in a race.","People are riding bikes.","6170429974.jpg#3r1e","Dva muži na kolech soutěžící v závodě.","Lidi jezdí na kole."
"neutral","Two men on bicycles competing in a race.","Men are riding bicycles on the street.","6170429974.jpg#3r1n","Dva muži na kolech soutěžící v závodě.","Muži jezdí po ulici na kolech."
"contradiction","Two men on bicycles competing in a race.","A few people are catching fish.","6170429974.jpg#3r1c","Dva muži na kolech soutěžící v závodě.","Pár lidí chytá ryby."
"neutral","A young boy in a field of flowers carrying a ball","boy leaving baseball game","530472459.jpg#4r1n","Mladý chlapec na poli květin nesoucí míček","kluk odchází z baseballu"
"entailment","A young boy in a field of flowers carrying a ball","boy in field","530472459.jpg#4r1e","Mladý chlapec na poli květin nesoucí míček","chlapec v poli"
"contradiction","A young boy in a field of flowers carrying a ball","dog in pool","530472459.jpg#4r1c","Mladý chlapec na poli květin nesoucí míček","pes v bazénu"
"contradiction","Families waiting in line at an amusement park for their turn to ride.","The restaurant is very bad.","173499538.jpg#2r1n","Rodiny čekají ve frontě v zábavním parku, až na ně přijde řada.","Restaurace je velmi špatná."
"contradiction","Families waiting in line at an amusement park for their turn to ride.","People are waiting in line at a restaurant.","173499538.jpg#2r1e","Rodiny čekají ve frontě v zábavním parku, až na ně přijde řada.","Lidé čekají ve frontě v restauraci."
"contradiction","Families waiting in line at an amusement park for their turn to ride.","People are waiting to see a movie.","173499538.jpg#2r1c","Rodiny čekají ve frontě v zábavním parku, až na ně přijde řada.","Lidé čekají na film."
"entailment","A senior is waiting at the window of a restaurant that serves sandwiches.","A person waits to be served his food.","2868652721.jpg#1r1e","Senior čeká u okna restaurace, kde podávají sendviče.","Člověk čeká, až mu naservírují jídlo."
"contradiction","A senior is waiting at the window of a restaurant that serves sandwiches.","A man is waiting in line for the bus.","2868652721.jpg#1r1c","Senior čeká u okna restaurace, kde podávají sendviče.","Muž čeká ve frontě na autobus."
"neutral","A senior is waiting at the window of a restaurant that serves sandwiches.","A man is looking to order a grilled cheese sandwich.","2868652721.jpg#1r1n","Senior čeká u okna restaurace, kde podávají sendviče.","Muž si chce objednat sendvič s grilovaným sýrem."
"entailment","Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.","A person in a suit","3021028400.jpg#1r1e","Muž v černém obleku, bílé košili a černém motýlkovi, který hraje na nějaký nástroj, obklopen zbytkem symfonie.","Osoba v obleku."
"contradiction","Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.","Nobody has a suit","3021028400.jpg#1r1c","Muž v černém obleku, bílé košili a černém motýlkovi, který hraje na nějaký nástroj, obklopen zbytkem symfonie.","Nikdo nemá oblek"
"neutral","Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.","A tall person in a suit","3021028400.jpg#1r1n","Muž v černém obleku, bílé košili a černém motýlkovi, který hraje na nějaký nástroj, obklopen zbytkem symfonie.","Vysoký člověk v obleku"
"entailment","Two women having drinks and smoking cigarettes at the bar.","Two women are at a bar.","508074953.jpg#2r1e","Dvě ženy popíjejí a kouří cigarety u baru.","Dvě ženy jsou v baru."
"contradiction","Two women having drinks and smoking cigarettes at the bar.","Three women are at a bar.","508074953.jpg#2r1c","Dvě ženy popíjejí a kouří cigarety u baru.","Tři ženy jsou v baru."
"neutral","Two women having drinks and smoking cigarettes at the bar.","Women are celebrating at a bar.","508074953.jpg#2r1n","Dvě ženy popíjejí a kouří cigarety u baru.","Ženy slaví v baru."
"contradiction","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.","A single man is next to a camera","3261712960.jpg#0r1c","Na venkovní akci v oblasti s asijskou tématikou se dav shromáždí, když se jedna osoba ve žlutém kostýmu čínského draka postaví před kameru.","Svobodný muž je vedle kamery"
"neutral","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.","A crowd is dancing","3261712960.jpg#0r1n","Na venkovní akci v oblasti s asijskou tématikou se dav shromáždí, když se jedna osoba ve žlutém kostýmu čínského draka postaví před kameru.","Dav tančí"
"neutral","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.","A crowd is in front of a camera","3261712960.jpg#0r1e","Na venkovní akci v oblasti s asijskou tématikou se dav shromáždí, když se jedna osoba ve žlutém kostýmu čínského draka postaví před kameru.","Dav je před kamerou"
"contradiction","Two doctors perform surgery on patient.","Two surgeons are having lunch.","5436250638.jpg#4r1c","Dva doktoři operují pacienta.","Dva chirurgové právě obědvají."
"entailment","Two doctors perform surgery on patient.","Doctors are performing surgery.","5436250638.jpg#4r1e","Dva doktoři operují pacienta.","Doktoři provádějí operaci."
"neutral","Two doctors perform surgery on patient.","Two doctors are performing surgery on a man.","5436250638.jpg#4r1n","Dva doktoři operují pacienta.","Dva lékaři provádějí operaci muže."
"contradiction","A white dog with long hair jumps to catch a red and green toy.","A white dog with long hair is swimming underwater.","485054073.jpg#0r1c","Bílý pes s dlouhými vlasy skáče, aby chytil červenozelenou hračku.","Bílý pes s dlouhými vlasy plave pod vodou."
"entailment","A white dog with long hair jumps to catch a red and green toy.","An animal is jumping to catch an object.","485054073.jpg#0r1e","Bílý pes s dlouhými vlasy skáče, aby chytil červenozelenou hračku.","Zvíře skáče, aby zachytilo předmět."
"neutral","A white dog with long hair jumps to catch a red and green toy.","A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.","485054073.jpg#0r1n","Bílý pes s dlouhými vlasy skáče, aby chytil červenozelenou hračku.","Bílá čivava s dlouhými kudrnatými vlasy skáče, aby chytila červenozelenou kost hračky."
"neutral","Kids are on a amusement ride.","Kids ride their favorite amusement ride.","7391785714.jpg#4r1n","Děti jsou na zábavní jízdě.","Děti jezdí na svých oblíbených atrakcích."
"contradiction","Kids are on a amusement ride.","A car is broke down on the side of the road.","7391785714.jpg#4r1c","Děti jsou na zábavní jízdě.","Na kraji silnice se rozbilo auto."
"entailment","Kids are on a amusement ride.","Kids ride an amusement ride.","7391785714.jpg#4r1e","Děti jsou na zábavní jízdě.","Děti jezdí na atrakci."
"neutral","A man in a black shirt is playing golf outside.","A man plays on a golf course to relax.","3497317981.jpg#2r1n","Muž v černé košili hraje venku golf.","Muž hraje na golfovém hřišti, aby si odpočinul."
"contradiction","A man in a black shirt is playing golf outside.","The man in the black shirt trades Pokemon cards with his girlfriend.","3497317981.jpg#2r1c","Muž v černé košili hraje venku golf.","Muž v černé košili si vyměňuje karty s pokémony se svou přítelkyní."
"entailment","A man in a black shirt is playing golf outside.","The man wearing the black shirt plays a game of golf.","3497317981.jpg#2r1e","Muž v černé košili hraje venku golf.","Muž v černé košili hraje golf."
"neutral","A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.","a blond man laughs while doing laundry","5964395383.jpg#1r1n","Staršímu pánovi připadá humorné, že se nechává vyfotit při praní.","blonďák se směje při praní"
"entailment","A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.","a guy laughs while doing laundry","5964395383.jpg#1r1e","Staršímu pánovi připadá humorné, že se nechává vyfotit při praní.","chlap se směje, když pere"
"contradiction","A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.","two ladies pin clothes to dry","5964395383.jpg#1r1c","Staršímu pánovi připadá humorné, že se nechává vyfotit při praní.","dvě dámy připínají prádlo k sušení"
"entailment","An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.","An Indian woman is doing her laundry in a lake.","2915400809.jpg#0r1e","Indiánka pere a pere špinavé prádlo u jezera a v pozadí je dítě, které zřejmě skočilo do jezera.","Indiánka si pere prádlo v jezeře."
"contradiction","An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.","An Indian woman is putting her laundry into the machine.","2915400809.jpg#0r1c","Indiánka pere a pere špinavé prádlo u jezera a v pozadí je dítě, které zřejmě skočilo do jezera.","Jedna Indka strká prádlo do pračky."
"neutral","An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.","An Indian woman is doing laundry for her son in the lake.","2915400809.jpg#0r1n","Indiánka pere a pere špinavé prádlo u jezera a v pozadí je dítě, které zřejmě skočilo do jezera.","Indiánka pere svému synovi v jezeře prádlo."
"contradiction","A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.","They are driving cars.","6291644661.jpg#2r1c","Muž v zeleném dresu a na kolečkových bruslích klopýtá, zatímco muž v černém dresu se zdá, že se s ním srazil.","Oni řídí auta."
"neutral","A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.","They both fall to the ground.","6291644661.jpg#2r1n","Muž v zeleném dresu a na kolečkových bruslích klopýtá, zatímco muž v černém dresu se zdá, že se s ním srazil.","Oba spadnou na zem."
"entailment","A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.","The man stumbles stumbles in rollerskates.","6291644661.jpg#2r1e","Muž v zeleném dresu a na kolečkových bruslích klopýtá, zatímco muž v černém dresu se zdá, že se s ním srazil.","Muž klopýtá v kolečkových bruslích."
"contradiction","A group of onlookers glance at a person doing a strange trick on her head.","A boy does a card trick.","1257692349.jpg#2r1c","Skupina přihlížejících se podívá na osobu, která provádí podivný trik na její hlavě.","Kluk dělá karetní trik."
"neutral","A group of onlookers glance at a person doing a strange trick on her head.","Onlookers are impressed by the trick.","1257692349.jpg#2r1n","Skupina přihlížejících se podívá na osobu, která provádí podivný trik na její hlavě.","Přihlížející jsou tímto trikem ohromeni."
"entailment","A group of onlookers glance at a person doing a strange trick on her head.","People watch another person do a trick.","1257692349.jpg#2r1e","Skupina přihlížejících se podívá na osobu, která provádí podivný trik na její hlavě.","Lidé se dívají, jak jiný člověk dělá trik."
"-","The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.","Two women are walking together.","3184031654.jpg#0r1e","Žena ze středního východu s růžovým šátkem kráčí vedle ženy s fialovým šátkem.","Dvě ženy jdou spolu."
"contradiction","The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.","Only one woman is wearing a head scarf.","3184031654.jpg#0r1c","Žena ze středního východu s růžovým šátkem kráčí vedle ženy s fialovým šátkem.","Jen jedna žena má na hlavě šátek."
"neutral","The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.","These two women are friends.","3184031654.jpg#0r1n","Žena ze středního východu s růžovým šátkem kráčí vedle ženy s fialovým šátkem.","Tyhle dvě ženy jsou kamarádky."
"contradiction","A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.","A man is chasing an SUV that is going in the same direction as him.","4543570621.jpg#1r1c","Taxi SUV projíždí kolem městského staveniště, zatímco muž jde ulicí opačným směrem.","Muž pronásleduje SUV, které jede stejným směrem jako on."
"entailment","A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.","An SUV and a man are going in opposite directions.","4543570621.jpg#1r1e","Taxi SUV projíždí kolem městského staveniště, zatímco muž jde ulicí opačným směrem.","SUV a muž jedou opačným směrem."
"neutral","A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.","A taxi SUV races to pick up some clients while a man walks peacefully in the other direction.","4543570621.jpg#1r1n","Taxi SUV projíždí kolem městského staveniště, zatímco muž jde ulicí opačným směrem.","Taxi SUV závodí, aby nabralo klienty, zatímco muž pokojně kráčí opačným směrem."
"contradiction","People wearing red shirts are standing in a large pool of water as it splashes over and around them.","Nobody has a shirt on","4784866019.jpg#0r1c","Lidé v červených košilích stojí ve velké kaluži vody, která kolem nich šplouchá.","Nikdo nemá tričko"
"entailment","People wearing red shirts are standing in a large pool of water as it splashes over and around them.","A person in a shirt","4784866019.jpg#0r1e","Lidé v červených košilích stojí ve velké kaluži vody, která kolem nich šplouchá.","Osoba v košili"
"neutral","People wearing red shirts are standing in a large pool of water as it splashes over and around them.","A tall person in a shirt","4784866019.jpg#0r1n","Lidé v červených košilích stojí ve velké kaluži vody, která kolem nich šplouchá.","Vysoký člověk v košili"
"contradiction","A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.","A man is wearing a black shirt","2447052614.jpg#0r1c","Muž v bílém tričku se vyfotí uprostřed ulice se dvěma veřejnými autobusy v pozadí.","Muž má na sobě černou košili"
"entailment","A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.","A man is wearing a white shirt","2447052614.jpg#0r1e","Muž v bílém tričku se vyfotí uprostřed ulice se dvěma veřejnými autobusy v pozadí.","Muž má na sobě bílou košili"
"neutral","A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.","A man is taking photos while on tour in nyc","2447052614.jpg#0r1n","Muž v bílém tričku se vyfotí uprostřed ulice se dvěma veřejnými autobusy v pozadí.","Muž fotí na turné v NYC"
"neutral","A shirtless man is singing into a microphone while a woman next to him plays an accordion.","He is Polish.","4826810171.jpg#0r1n","Muž bez košile zpívá do mikrofonu, zatímco žena vedle něj hraje na harmoniku.","Je to Polák."
"contradiction","A shirtless man is singing into a microphone while a woman next to him plays an accordion.","He is playing a saxophone.","4826810171.jpg#0r1c","Muž bez košile zpívá do mikrofonu, zatímco žena vedle něj hraje na harmoniku.","Hraje na saxofon."
"entailment","A shirtless man is singing into a microphone while a woman next to him plays an accordion.","A man is singing into a microphone.","4826810171.jpg#0r1e","Muž bez košile zpívá do mikrofonu, zatímco žena vedle něj hraje na harmoniku.","Muž zpívá do mikrofonu."
"neutral","Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.","It is very sunny outside.","7699580622.jpg#1r1n","Ženy a děti sedí venku ve stínu, zatímco skupina mladších dětí sedí uvnitř ve stínu.","Venku je velmi slunečno."
"entailment","Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.","The woman and kids and sitting down.","7699580622.jpg#1r1e","Ženy a děti sedí venku ve stínu, zatímco skupina mladších dětí sedí uvnitř ve stínu.","Žena a děti a sednout si."
"contradiction","Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.","The woman is running.","7699580622.jpg#1r1c","Ženy a děti sedí venku ve stínu, zatímco skupina mladších dětí sedí uvnitř ve stínu.","Ta žena utíká."
"contradiction","A pregnant lady singing on stage while holding a flag behind her.","A woman is sick in bed.","8162775105.jpg#3r1c","Těhotná dáma, která zpívá na pódiu a za sebou drží vlajku.","Žena je nemocná v posteli."
"entailment","A pregnant lady singing on stage while holding a flag behind her.","A woman is making music.","8162775105.jpg#3r1e","Těhotná dáma, která zpívá na pódiu a za sebou drží vlajku.","Žena dělá hudbu."
"neutral","A pregnant lady singing on stage while holding a flag behind her.","A lady is participating in a talent show.","8162775105.jpg#3r1n","Těhotná dáma, která zpívá na pódiu a za sebou drží vlajku.","Jedna dáma se účastní talentové soutěže."
"entailment","The two farmers are working on a piece of John Deere equipment.","Men are working on John Deere equipment","5777129645.jpg#2r1n","Oba farmáři pracují na kousku zařízení John Deere.","Muži pracují na vybavení John Deere"
"entailment","The two farmers are working on a piece of John Deere equipment.","John Deere equipment is being worked on by two farmers","5777129645.jpg#2r1e","Oba farmáři pracují na kousku zařízení John Deere.","Na zařízení John Deere pracují dva farmáři"
"contradiction","The two farmers are working on a piece of John Deere equipment.","2 Men are making a pool together","5777129645.jpg#2r1c","Oba farmáři pracují na kousku zařízení John Deere.","2 Muži spolu dělají bazén"
"neutral","A little boy in a blue shirt holding a toy.","Boy dressed in blue carrying toy to a toybox.","3168293517.jpg#2r1n","Malý chlapec v modré košili drží hračku.","Chlapec v modrém s hračkou v krabici."
"contradiction","A little boy in a blue shirt holding a toy.","Boy dressed in red lighting things on fire.","3168293517.jpg#2r1c","Malý chlapec v modré košili drží hračku.","Chlapec oblečený v červeném zapaloval věci."
"entailment","A little boy in a blue shirt holding a toy.","Boy dressed in blue holds a toy.","3168293517.jpg#2r1e","Malý chlapec v modré košili drží hračku.","Chlapec v modrém drží hračku."
"neutral","A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.","The woman is writing a grocery list.","3082355901.jpg#0r1n","Žena píše něco na lístek, který visí na nástěnce se spoustou dalších poznámek.","Ta žena píše seznam potravin."
"contradiction","A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.","The woman is talking on the phone.","3082355901.jpg#0r1c","Žena píše něco na lístek, který visí na nástěnce se spoustou dalších poznámek.","Ta žena právě telefonuje."
"entailment","A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.","The woman is writing a note.","3082355901.jpg#0r1e","Žena píše něco na lístek, který visí na nástěnce se spoustou dalších poznámek.","Ta žena píše vzkaz."
"entailment","A baby at the end of a slip and slide at a party","The baby is wet.","2537197415.jpg#3r1n","Dítě na konci skluzu a klouzání na párty","Dítě je mokré."
"contradiction","A baby at the end of a slip and slide at a party","The man is at the end of the slip and slide","2537197415.jpg#3r1c","Dítě na konci skluzu a klouzání na párty","Muž je na konci skluzu a skluzu"
"entailment","A baby at the end of a slip and slide at a party","There is a party","2537197415.jpg#3r1e","Dítě na konci skluzu a klouzání na párty","Je tu večírek"
"neutral","A girl swings high in the air.","A girl is gaining momentum to flip off the swing","3670918456.jpg#3r1n","Dívka se houpe vysoko ve vzduchu.","Dívka nabírá na síle, aby přehodila houpačku"
"contradiction","A girl swings high in the air.","A girl is laying in the pool","3670918456.jpg#3r1c","Dívka se houpe vysoko ve vzduchu.","V bazénu leží dívka"
"entailment","A girl swings high in the air.","A girl is on a swing","3670918456.jpg#3r1e","Dívka se houpe vysoko ve vzduchu.","Dívka je na houpačce"
"neutral","A view of the back of a woman having a beverage.","woman drinks a beer","4983722231.jpg#1r1n","Pohled na záda ženy, která pije.","žena pije pivo"
"contradiction","A view of the back of a woman having a beverage.","woman dumps the drink on a man","4983722231.jpg#1r1c","Pohled na záda ženy, která pije.","žena vylije pití na muže"
"entailment","A view of the back of a woman having a beverage.","woman has a drink","4983722231.jpg#1r1e","Pohled na záda ženy, která pije.","žena si dá drink"
"entailment","A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.","A person sitting","3047788420.jpg#0r1e","Dáma sedící na lavičce u budovy a pod plakátem muže v uniformě, který mává.","Osoba sedící"
"neutral","A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.","A tall person sitting","3047788420.jpg#0r1n","Dáma sedící na lavičce u budovy a pod plakátem muže v uniformě, který mává.","Vysoký člověk sedící"
"contradiction","A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.","Nobody is sitting","3047788420.jpg#0r1c","Dáma sedící na lavičce u budovy a pod plakátem muže v uniformě, který mává.","Nikdo nesedí"
"neutral","A man with a shopping cart is studying the shelves in a supermarket aisle.","The man is trying to pick out what cereal to choose.","5623287052.jpg#1r1n","Muž s nákupním vozíkem studuje regály v uličce supermarketu.","Muž se snaží vybrat, jaké vločky si vybrat."
"contradiction","A man with a shopping cart is studying the shelves in a supermarket aisle.","A man is watching a movie in a theater.","5623287052.jpg#1r1c","Muž s nákupním vozíkem studuje regály v uličce supermarketu.","Muž se dívá na film v divadle."
"entailment","A man with a shopping cart is studying the shelves in a supermarket aisle.","There is a man inside a supermarket.","5623287052.jpg#1r1e","Muž s nákupním vozíkem studuje regály v uličce supermarketu.","Uvnitř supermarketu je muž."
"entailment","A man wearing sunglasses is sitting on the steps outside, reading a magazine.","The man is sitting.","4547258202.jpg#0r1e","Na schodech venku sedí muž ve slunečních brýlích a čte si časopis.","Ten muž sedí."
"neutral","A man wearing sunglasses is sitting on the steps outside, reading a magazine.","The man is reading tips on how to be a better boy friend.","4547258202.jpg#0r1n","Na schodech venku sedí muž ve slunečních brýlích a čte si časopis.","Ten chlap čte rady, jak být lepším kamarádem."
"contradiction","A man wearing sunglasses is sitting on the steps outside, reading a magazine.","The man is reading a spoon with the words ""HELP ME"" on it.","4547258202.jpg#0r1c","Na schodech venku sedí muž ve slunečních brýlích a čte si časopis.","Muž čte lžíci s nápisem \POMOZTE MI\."
"contradiction","A woman sitting outside weaving a long piece of red, white, and blue cloth.","He is jumping over a house","4586078680.jpg#1r1c","Žena sedící venku tkala dlouhý kus červené, bílé a modré látky.","Skáče přes dům."
"entailment","A woman sitting outside weaving a long piece of red, white, and blue cloth.","She is working with cloth","4586078680.jpg#1r1e","Žena sedící venku tkala dlouhý kus červené, bílé a modré látky.","Pracuje s látkou."
"neutral","A woman sitting outside weaving a long piece of red, white, and blue cloth.","She is weaving an american flag","4586078680.jpg#1r1n","Žena sedící venku tkala dlouhý kus červené, bílé a modré látky.","Ona spřádá americkou vlajku"
"entailment","A person powerwashing stairs leading down to a pool.","a person washes stairs","3208032657.jpg#2r1e","Osoba pohánějící schody vedoucí k bazénu.","člověk myje schody"
"entailment","A person powerwashing stairs leading down to a pool.","a worker cleans near the pool","3208032657.jpg#2r1n","Osoba pohánějící schody vedoucí k bazénu.","dělník uklízí u bazénu"
"contradiction","A person powerwashing stairs leading down to a pool.","a dog chases a cat","3208032657.jpg#2r1c","Osoba pohánějící schody vedoucí k bazénu.","pes honí kočku"
"contradiction","A person rides his bicycle in the sand beside the ocean.","A person is falling off his bike.","2137789511.jpg#1r1n","Člověk jede na kole v písku u oceánu.","Někdo padá z kola."
"contradiction","A person rides his bicycle in the sand beside the ocean.","A person is on a boat.","2137789511.jpg#1r1c","Člověk jede na kole v písku u oceánu.","Člověk je na lodi."
"entailment","A person rides his bicycle in the sand beside the ocean.","A person is on a beach.","2137789511.jpg#1r1e","Člověk jede na kole v písku u oceánu.","Člověk je na pláži."
"entailment","Two black little boys hanging over an upside down bicycle, one examining the pedal.","Children were looking at a bike.","4951185210.jpg#0r1e","Dva malí černí kluci visí nad bicyklem vzhůru nohama, jeden zkoumá pedál.","Děti se dívaly na kolo."
"neutral","Two black little boys hanging over an upside down bicycle, one examining the pedal.","the children are outside.","4951185210.jpg#0r1n","Dva malí černí kluci visí nad bicyklem vzhůru nohama, jeden zkoumá pedál.","děti jsou venku."
"contradiction","Two black little boys hanging over an upside down bicycle, one examining the pedal.","Someone is riding a bike.","4951185210.jpg#0r1c","Dva malí černí kluci visí nad bicyklem vzhůru nohama, jeden zkoumá pedál.","Někdo jede na kole."
