"GoldLabel","Premise","Hypothesis","PairID","CZpremise","CZhypothesis"
"entailment","A land rover is being driven across a river.","A Land Rover is splashing water as it crosses a river.","2832076014.jpg#2r1n","Přes řeku právě projíždí terénní vůz.","Land Rover stříká vodu, když přejíždí řeku."
"entailment","A land rover is being driven across a river.","A vehicle is crossing a river.","2832076014.jpg#2r1e","Přes řeku právě projíždí terénní vůz.","Vozidlo přejíždí řeku."
"contradiction","A land rover is being driven across a river.","A sedan is stuck in the middle of a river.","2832076014.jpg#2r1c","Přes řeku právě projíždí terénní vůz.","Sedan se zasekl uprostřed řeky."
"contradiction","A man playing an electric guitar on stage.","A man playing banjo on the floor.","1034985636.jpg#3r1c","Muž hrající na elektrickou kytaru na pódiu.","Muž hrající na podlaze na banjo."
"entailment","A man playing an electric guitar on stage.","A man playing guitar on stage.","1034985636.jpg#3r1e","Muž hrající na elektrickou kytaru na pódiu.","Muž hrající na kytaru na pódiu."
"neutral","A man playing an electric guitar on stage.","A man is performing for cash.","1034985636.jpg#3r1n","Muž hrající na elektrickou kytaru na pódiu.","Muž vystupuje za peníze."
"entailment","A blond-haired doctor and her African american assistant looking threw new medical manuals.","A doctor is looking at a book","3856149623.jpg#1r1e","Blonďatá doktorka a její africký americký asistent, který vypadal, hodili nové lékařské příručky.","Doktor se dívá do knihy"
"contradiction","A blond-haired doctor and her African american assistant looking threw new medical manuals.","A man is eating pb and j","3856149623.jpg#1r1c","Blonďatá doktorka a její africký americký asistent, který vypadal, hodili nové lékařské příručky.","Muž jí pb a j"
"neutral","A blond-haired doctor and her African american assistant looking threw new medical manuals.","A doctor is studying","3856149623.jpg#1r1n","Blonďatá doktorka a její africký americký asistent, který vypadal, hodili nové lékařské příručky.","Doktor se učí"
"contradiction","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","A boy runs into a wall","3827316480.jpg#0r1c","Jedna opálená dívka s vlněným kloboukem běží a sklání se nad nějakým předmětem, zatímco jiná osoba ve vlněném klobouku sedí na zemi.","Chlapec narazil do zdi"
"entailment","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","A tan girl runs leans over an object","3827316480.jpg#0r1e","Jedna opálená dívka s vlněným kloboukem běží a sklání se nad nějakým předmětem, zatímco jiná osoba ve vlněném klobouku sedí na zemi.","Opálená dívka běží nakloněná nad předmětem"
"neutral","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","A man watches his daughter leap","3827316480.jpg#0r1n","Jedna opálená dívka s vlněným kloboukem běží a sklání se nad nějakým předmětem, zatímco jiná osoba ve vlněném klobouku sedí na zemi.","Muž se dívá, jak jeho dcera skáče"
"neutral","A young family enjoys feeling ocean waves lap at their feet.","A young man and woman take their child to the beach for the first time.","2946464027.jpg#0r1n","Mladá rodina se vyžívá v pocitu, že jim vlny oceánu pleskají u nohou.","Mladý muž a žena poprvé vezmou své dítě na pláž."
"contradiction","A young family enjoys feeling ocean waves lap at their feet.","A family is out at a restaurant.","2946464027.jpg#0r1c","Mladá rodina se vyžívá v pocitu, že jim vlny oceánu pleskají u nohou.","Rodina je venku v restauraci."
"entailment","A young family enjoys feeling ocean waves lap at their feet.","A family is at the beach.","2946464027.jpg#0r1e","Mladá rodina se vyžívá v pocitu, že jim vlny oceánu pleskají u nohou.","Rodina je na pláži."
"entailment","A couple walk hand in hand down a street.","A couple is walking together.","3572548523.jpg#4r1e","Pár jde ruku v ruce po ulici.","Pár jde spolu."
"neutral","A couple walk hand in hand down a street.","The couple is married.","3572548523.jpg#4r1n","Pár jde ruku v ruce po ulici.","Pár je ženatý."
"contradiction","A couple walk hand in hand down a street.","A couple is sitting on a bench.","3572548523.jpg#4r1c","Pár jde ruku v ruce po ulici.","Pár sedí na lavičce."
"contradiction","3 young man in hoods standing in the middle of a quiet street facing the camera.","Three people sit by a busy street bareheaded.","4460943467.jpg#0r1c","3 mladíci v kuklách stojící uprostřed tiché ulice čelem ke kameře.","U rušné ulice sedí tři lidé s holou hlavou."
"entailment","3 young man in hoods standing in the middle of a quiet street facing the camera.","Three hood wearing people pose for a picture.","4460943467.jpg#0r1n","3 mladíci v kuklách stojící uprostřed tiché ulice čelem ke kameře.","Tři lidi s kapucí pózují pro fotku."
"entailment","3 young man in hoods standing in the middle of a quiet street facing the camera.","Three hood wearing people stand in a street.","4460943467.jpg#0r1e","3 mladíci v kuklách stojící uprostřed tiché ulice čelem ke kameře.","Tři lidi s kapucí stojí na ulici."
"entailment","A man reads the paper in a bar with green lighting.","The man is inside.","2096485764.jpg#0r1e","Muž čte noviny v baru se zeleným osvětlením.","Muž je uvnitř."
"neutral","A man reads the paper in a bar with green lighting.","The man is reading the sportspage.","2096485764.jpg#0r1n","Muž čte noviny v baru se zeleným osvětlením.","Ten muž čte sportovní noviny."
"contradiction","A man reads the paper in a bar with green lighting.","The man is climbing a mountain.","2096485764.jpg#0r1c","Muž čte noviny v baru se zeleným osvětlením.","Ten muž leze na horu."
"neutral","Three firefighter come out of subway station.","Three firefighters putting out a fire inside of a subway station.","4679111230.jpg#2r1n","Tři hasiči vyšli ze stanice metra.","Tři hasiči hasili požár uvnitř stanice metra."
"entailment","Three firefighter come out of subway station.","Three firefighters coming up from a subway station.","4679111230.jpg#2r1e","Tři hasiči vyšli ze stanice metra.","Tři hasiči přijíždějí ze stanice metra."
"contradiction","Three firefighter come out of subway station.","Three firefighters playing cards inside a fire station.","4679111230.jpg#2r1c","Tři hasiči vyšli ze stanice metra.","Tři hasiči hrající karty uvnitř požární stanice."
"entailment","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person is near a pile of coconuts.","2892843393.jpg#1r1e","Osoba ve slamáku, stojící venku a pracující s ocelovým aparátem s hromadou kokosů na zemi.","Osoba je blízko hromady kokosů."
"neutral","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person is selling coconuts.","2892843393.jpg#1r1n","Osoba ve slamáku, stojící venku a pracující s ocelovým aparátem s hromadou kokosů na zemi.","Člověk prodává kokosy."
"contradiction","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person is burning a straw hat.","2892843393.jpg#1r1c","Osoba ve slamáku, stojící venku a pracující s ocelovým aparátem s hromadou kokosů na zemi.","Člověk pálí slamák."
"contradiction","Male in a blue jacket decides to lay in the grass.","The guy in yellow is rolling on the grass","4923271886.jpg#2r1c","Muž v modré bundě se rozhodne, že si lehne do trávy.","Chlápek ve žlutém se válí po trávě"
"entailment","Male in a blue jacket decides to lay in the grass.","The guy wearing a blue jacket is laying on the green grass","4923271886.jpg#2r1e","Muž v modré bundě se rozhodne, že si lehne do trávy.","Chlap v modré bundě leží na zelené trávě."
"neutral","Male in a blue jacket decides to lay in the grass.","The guy wearing a blue jacket is laying on the green grass taking a nap.","4923271886.jpg#2r1n","Muž v modré bundě se rozhodne, že si lehne do trávy.","Chlap v modré bundě leží na zelené trávě a odpočívá."
"neutral","During calf roping a cowboy calls off his horse.","A first time roper falls off his horse.","2972268289.jpg#4r1n","Během telete sváže kovboj svého koně.","Poprvé spadne provaz z koně."
"-","During calf roping a cowboy calls off his horse.","Cowboy falling off horse.","2972268289.jpg#4r1e","Během telete sváže kovboj svého koně.","Kovboj padá z koně."
"contradiction","During calf roping a cowboy calls off his horse.","A man ropes a calf successfully.","2972268289.jpg#4r1c","Během telete sváže kovboj svého koně.","Muž úspěšně lanaří tele."
"entailment","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.","A boy is on a playground.","4770171876.jpg#0r1e","Malý chlapec v šedobílém pruhovaném svetru a béžových kalhotách si hraje na kousku dětského vybavení.","Chlapec je na dětském hřišti."
"neutral","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.","The boy is playing on the swings after school.","4770171876.jpg#0r1n","Malý chlapec v šedobílém pruhovaném svetru a béžových kalhotách si hraje na kousku dětského vybavení.","Chlapec si po škole hraje na houpačkách."
"contradiction","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.","The boy is sitting on the school bus on his way home.","4770171876.jpg#0r1c","Malý chlapec v šedobílém pruhovaném svetru a béžových kalhotách si hraje na kousku dětského vybavení.","Chlapec sedí ve školním autobuse na cestě domů."
"neutral","A woman wearing a ball cap squats down to touch the cracked earth.","An archeologist wearing a hat squats to examine the site for a dig","351765604.jpg#0r1n","Žena v kuličkové čepici si dřepne, aby se dotkla popraskané země.","Archeolog s kloboukem dřepí, aby prozkoumal místo pro vykopávky"
"entailment","A woman wearing a ball cap squats down to touch the cracked earth.","A squatting woman wearing a hat touching the ground.","351765604.jpg#0r1e","Žena v kuličkové čepici si dřepne, aby se dotkla popraskané země.","Dřepící žena s kloboukem dotýkajícím se země."
"contradiction","A woman wearing a ball cap squats down to touch the cracked earth.","A woman wearing a sun bonnet planting a garden.","351765604.jpg#0r1c","Žena v kuličkové čepici si dřepne, aby se dotkla popraskané země.","Žena se slunečním kloboukem sází zahradu."
"neutral","Two children re laying on a rug with some wooden bricks laid out in a square between them.","Two children are building a brick furnace.","847782643.jpg#0r1n","Dvě děti leží na koberci a mezi nimi jsou rozloženy dřevěné cihly.","Dvě děti staví cihlovou pec."
"contradiction","Two children re laying on a rug with some wooden bricks laid out in a square between them.","Two children are playing catch at a park.","847782643.jpg#0r1c","Dvě děti leží na koberci a mezi nimi jsou rozloženy dřevěné cihly.","Dvě děti si hrají na honěnou v parku."
"entailment","Two children re laying on a rug with some wooden bricks laid out in a square between them.","Two children are on a rug.","847782643.jpg#0r1e","Dvě děti leží na koberci a mezi nimi jsou rozloženy dřevěné cihly.","Dvě děti jsou na koberci."
"entailment","A man standing in front of a building on the phone as two men to the side pain on the side.","a guy near a building stands by two other men","3020218156.jpg#2r1e","Muž stojící u telefonu před budovou jako dva muži na boku bolí na boku.","chlápek poblíž budovy stojí vedle dalších dvou mužů"
"contradiction","A man standing in front of a building on the phone as two men to the side pain on the side.","two girls walk through a hall","3020218156.jpg#2r1c","Muž stojící u telefonu před budovou jako dva muži na boku bolí na boku.","dvě dívky procházejí halou"
"neutral","A man standing in front of a building on the phone as two men to the side pain on the side.","a busy man stands with bodyguards","3020218156.jpg#2r1n","Muž stojící u telefonu před budovou jako dva muži na boku bolí na boku.","zaneprázdněný muž stojí s bodyguardy"
"entailment","The two young girls are dressed as fairies, and are playing in the leaves outdoors.","Girls are playing outdoors.","3036382555.jpg#0r1e","Obě mladé dívky jsou oblečené jako víly a hrají si venku v listí.","Holky si hrají venku."
"contradiction","The two young girls are dressed as fairies, and are playing in the leaves outdoors.","Two girls play dress up indoors.","3036382555.jpg#0r1c","Obě mladé dívky jsou oblečené jako víly a hrají si venku v listí.","Dvě holky se převlékají uvnitř."
"neutral","The two young girls are dressed as fairies, and are playing in the leaves outdoors.","The two girls play in the Autumn.","3036382555.jpg#0r1n","Obě mladé dívky jsou oblečené jako víly a hrají si venku v listí.","Ty dvě holky hrají na podzim."
"neutral","People jump over a mountain crevasse on a rope.","Some people look visually afraid to jump.","407008823.jpg#3r1n","Lidé skáčou přes horskou trhlinu na laně.","Někteří lidé se vizuálně bojí skočit."
"entailment","People jump over a mountain crevasse on a rope.","People are jumping outside.","407008823.jpg#3r1e","Lidé skáčou přes horskou trhlinu na laně.","Venku skáčou lidi."
"contradiction","People jump over a mountain crevasse on a rope.","People slide over a mountain crevasse on a slide.","407008823.jpg#3r1c","Lidé skáčou přes horskou trhlinu na laně.","Lidé kloužou po skluzavce přes horskou trhlinu."
"entailment","A snowboarder on a wide plain of snow","A snow field with a snowboarder on it","3364026240.jpg#3r1e","Snowboardista na široké sněhové pláni","Sněhové pole se snowboardistou"
"neutral","A snowboarder on a wide plain of snow","A snowboarder gliding over a field of snow","3364026240.jpg#3r1n","Snowboardista na široké sněhové pláni","Snowboardista klouzající po sněhovém poli"
"neutral","A snowboarder on a wide plain of snow","A snowmobile in a blizzard","3364026240.jpg#3r1c","Snowboardista na široké sněhové pláni","Sněžný skútr ve vánici"
"contradiction","An older women tending to a garden.","The lady is cooking dinner","3437522515.jpg#3r1c","Starší ženy pečující o zahradu.","Dáma vaří večeři."
"neutral","An older women tending to a garden.","The lady is weeding her garden","3437522515.jpg#3r1n","Starší ženy pečující o zahradu.","Dáma pleje svou zahradu"
"entailment","An older women tending to a garden.","The lady has a garden","3437522515.jpg#3r1e","Starší ženy pečující o zahradu.","Dáma má zahradu."
"contradiction","A man in a black shirt overlooking bike maintenance.","A man destroys a bike.","2936881937.jpg#4r1c","Muž v černé košili s výhledem na údržbu kol.","Člověk zničí kolo."
"entailment","A man in a black shirt overlooking bike maintenance.","A man watches bike repairs.","2936881937.jpg#4r1e","Muž v černé košili s výhledem na údržbu kol.","Muž sleduje opravy kol."
"neutral","A man in a black shirt overlooking bike maintenance.","A man learns bike maintenance.","2936881937.jpg#4r1n","Muž v černé košili s výhledem na údržbu kol.","Člověk se učí údržbu kol."
"contradiction","A man in a black shirt is looking at a bike in a workshop.","A man is wearing a red shirt","2936881937.jpg#2r1c","Muž v černé košili se dívá na kolo v dílně.","Muž má na sobě červenou košili"
"entailment","A man in a black shirt is looking at a bike in a workshop.","A man is in a black shirt","2936881937.jpg#2r1e","Muž v černé košili se dívá na kolo v dílně.","Muž je v černé košili"
"neutral","A man in a black shirt is looking at a bike in a workshop.","A man is deciding which bike to buy","2936881937.jpg#2r1n","Muž v černé košili se dívá na kolo v dílně.","Muž se rozhoduje, které kolo si koupí"
"entailment","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.","A person is in a garage.","2936881937.jpg#0r1n","Muž, který se dívá přes zadní kolo bicyklu v údržbářské garáži a v pozadí je vidět různé nářadí.","Člověk je v garáži."
"entailment","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.","A man repairs bicycles.","2936881937.jpg#0r1e","Muž, který se dívá přes zadní kolo bicyklu v údržbářské garáži a v pozadí je vidět různé nářadí.","Člověk opravuje kola."
"contradiction","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.","A man waits outside a garage.","2936881937.jpg#0r1c","Muž, který se dívá přes zadní kolo bicyklu v údržbářské garáži a v pozadí je vidět různé nářadí.","Muž čeká před garáží."
"contradiction","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Some people stand around.","4499295511.jpg#0r1n","Tři lidé sedí na lavičce u nádraží, muž se podivně dívá na dvě ženy, rusovlasé ženy se dívají nahoru a dopředu v trapné poloze a žlutá blondýnka se točí s vlasy.","Někteří lidé postávají kolem."
"contradiction","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","People run together.","4499295511.jpg#0r1c","Tři lidé sedí na lavičce u nádraží, muž se podivně dívá na dvě ženy, rusovlasé ženy se dívají nahoru a dopředu v trapné poloze a žlutá blondýnka se točí s vlasy.","Lidé utíkají spolu."
"entailment","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","People wait at a station.","4499295511.jpg#0r1e","Tři lidé sedí na lavičce u nádraží, muž se podivně dívá na dvě ženy, rusovlasé ženy se dívají nahoru a dopředu v trapné poloze a žlutá blondýnka se točí s vlasy.","Lidé čekají na nádraží."
"entailment","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.","A child wearing a red top is standing behind a blond headed child","2876232980.jpg#0r1e","Za plavovlasým dítětem sedícím na trakaři stojí dítě v červeném tričku.","Dítě v červeném tričku stojí za plavovlasým dítětem"
"contradiction","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.","A child wearing a red top is standing on top of a blond headed child","2876232980.jpg#0r1c","Za plavovlasým dítětem sedícím na trakaři stojí dítě v červeném tričku.","Dítě v červeném tričku stojí na světlovlasém dítěti"
"neutral","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.","A child wearing a red top is standing behind a pretty blond headed child","2876232980.jpg#0r1n","Za plavovlasým dítětem sedícím na trakaři stojí dítě v červeném tričku.","Dítě v červeném tričku stojí za hezkým blonďatým dítětem"
"contradiction","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A lady sitting on a bench in the park.","2508019949.jpg#0r1c","Osoba oblečená v šatech s květinami a k nim připevněnou vycpanou včelou tlačí po ulici dětský kočárek.","Dáma sedící na lavičce v parku."
"neutral","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","An old lady pushing a stroller down a busy street.","2508019949.jpg#0r1n","Osoba oblečená v šatech s květinami a k nim připevněnou vycpanou včelou tlačí po ulici dětský kočárek.","Stará paní tlačící kočárek rušnou ulicí."
"entailment","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.","A person outside pushing a stroller.","2508019949.jpg#0r1e","Osoba oblečená v šatech s květinami a k nim připevněnou vycpanou včelou tlačí po ulici dětský kočárek.","Někdo venku tlačí kočárek."
"neutral","A dog jumping for a Frisbee in the snow.","A pet is enjoying a game of fetch with his owner.","3338217927.jpg#2r1n","Pes skákající pro talíř ve sněhu.","Zvíře si užívá hru na aport se svým páníčkem."
"contradiction","A dog jumping for a Frisbee in the snow.","A cat washes his face and whiskers with his front paw.","3338217927.jpg#2r1c","Pes skákající pro talíř ve sněhu.","Kočka si umývá obličej a vousy přední tlapou."
"entailment","A dog jumping for a Frisbee in the snow.","An animal is outside in the cold weather, playing with a plastic toy.","3338217927.jpg#2r1e","Pes skákající pro talíř ve sněhu.","V chladném počasí je venku zvíře a hraje si s plastovou hračkou."
"neutral","People are conversing at a dining table under a canopy.","People at a party are seated for dinner on the lawn.","264460711.jpg#2r1n","Lidé konverzují u jídelního stolu pod baldachýnem.","Lidé na večírku sedí u večeře na trávníku."
"entailment","People are conversing at a dining table under a canopy.","People are talking underneath a covering.","264460711.jpg#2r1e","Lidé konverzují u jídelního stolu pod baldachýnem.","Lidé mluví pod zástěrkou."
"contradiction","People are conversing at a dining table under a canopy.","People are screaming at a boxing match.","264460711.jpg#2r1c","Lidé konverzují u jídelního stolu pod baldachýnem.","Lidé křičí na boxerském zápase."
"contradiction","A girl playing a violin along with a group of people","A girl is washing a load of laundry.","6082587848.jpg#1r1c","Dívka hrající na housle spolu se skupinou lidí","Dívka pere náklad prádla."
"entailment","A girl playing a violin along with a group of people","A girl is playing an instrument.","6082587848.jpg#1r1e","Dívka hrající na housle spolu se skupinou lidí","Dívka hraje na nástroj."
"neutral","A girl playing a violin along with a group of people","A group of people are playing in a symphony.","6082587848.jpg#1r1n","Dívka hrající na housle spolu se skupinou lidí","Skupina lidí hraje v symfonii."
"neutral","A woman within an orchestra is playing a violin.","A woman is playing a concert.","6082587848.jpg#3r1n","Žena v orchestru hraje na housle.","Žena hraje na koncertě."
"entailment","A woman within an orchestra is playing a violin.","A woman is playing the violin.","6082587848.jpg#3r1e","Žena v orchestru hraje na housle.","Žena hraje na housle."
"contradiction","A woman within an orchestra is playing a violin.","A man is looking in a telescope.","6082587848.jpg#3r1c","Žena v orchestru hraje na housle.","Muž se dívá do dalekohledu."
"neutral","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","three men going to work","6979303317.jpg#0r1n","Tři muži, jeden drží trubky, další drží nad hlavou velký předmět a jeden se opírá o trubkové lože na náklaďáku, se dívají do kamery.","tři muži jdou do práce"
"entailment","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","three men look at the camera","6979303317.jpg#0r1e","Tři muži, jeden drží trubky, další drží nad hlavou velký předmět a jeden se opírá o trubkové lože na náklaďáku, se dívají do kamery.","tři muži se dívají do kamery"
"contradiction","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.","three men sleeping in a tent","6979303317.jpg#0r1c","Tři muži, jeden drží trubky, další drží nad hlavou velký předmět a jeden se opírá o trubkové lože na náklaďáku, se dívají do kamery.","tři muži spící ve stanu"
"entailment","A Ford car is making a right turn as 3 males are walking across the street behind the car.","A car making a right turn had three pedestrians cross behind it.","4114589329.jpg#0r1e","Auto značky Ford právě odbočuje vpravo, když tři muži přecházejí ulici za autem.","Auto, které odbočovalo vpravo, za sebou mělo tři chodce."
"neutral","A Ford car is making a right turn as 3 males are walking across the street behind the car.","A sedan was turning a corner as walkers were crossing.","4114589329.jpg#0r1n","Auto značky Ford právě odbočuje vpravo, když tři muži přecházejí ulici za autem.","Když procházeli chodci, zahýbal za roh sedan."
"-","A Ford car is making a right turn as 3 males are walking across the street behind the car.","A car proceeding straight as pedestrians walked across the road in back of it.","4114589329.jpg#0r1c","Auto značky Ford právě odbočuje vpravo, když tři muži přecházejí ulici za autem.","Auto pokračovalo rovně, zatímco chodci přecházeli silnici za ním."
"entailment","Three boys in white shirts are walking behind an older model Ford car.","there are three boys","4114589329.jpg#2r1e","Tři kluci v bílých košilích se procházejí za starším modelem Fordu.","jsou tři kluci"
"contradiction","Three boys in white shirts are walking behind an older model Ford car.","There are three girls","4114589329.jpg#2r1c","Tři kluci v bílých košilích se procházejí za starším modelem Fordu.","Jsou tam tři holky."
"entailment","Three boys in white shirts are walking behind an older model Ford car.","The boys are on the street","4114589329.jpg#2r1n","Tři kluci v bílých košilích se procházejí za starším modelem Fordu.","Chlapci jsou na ulici"
"entailment","Three girls blow out the candles of a cake made of Peeps.","Some people are blowing out candles","2147876139.jpg#4r1n","Tři dívky sfouknou svíčky z dortu vyrobeného z liďáků.","Někteří lidé sfoukávají svíčky"
"entailment","Three girls blow out the candles of a cake made of Peeps.","There are three girls and a cake","2147876139.jpg#4r1e","Tři dívky sfouknou svíčky z dortu vyrobeného z liďáků.","Jsou tam tři holky a dort"
"contradiction","Three girls blow out the candles of a cake made of Peeps.","There are peeps in the garden.","2147876139.jpg#4r1c","Tři dívky sfouknou svíčky z dortu vyrobeného z liďáků.","Na zahradě jsou šmíráci."
"neutral","A crowd of people looking up at 3 people on the edge of the roof of a building.","The crowd is calling for help for the people on the roof.","2622986361.jpg#2r1n","Dav lidí, kteří se dívají na 3 lidi na okraji střechy budovy.","Dav volá o pomoc pro lidi na střeše."
"entailment","A crowd of people looking up at 3 people on the edge of the roof of a building.","The crowd on the ground is watching 3 people on the roof's edge.","2622986361.jpg#2r1e","Dav lidí, kteří se dívají na 3 lidi na okraji střechy budovy.","Dav na zemi sleduje 3 lidi na okraji střechy."
"contradiction","A crowd of people looking up at 3 people on the edge of the roof of a building.","Three people are climbing down the ladder on the building.","2622986361.jpg#2r1c","Dav lidí, kteří se dívají na 3 lidi na okraji střechy budovy.","Tři lidé slézají po žebříku na budovu."
"neutral","A woman working long hours.","A woman is working in a factory.","4963234016.jpg#4r1n","Žena, která pracuje dlouho.","Jedna žena pracuje v továrně."
"entailment","A woman working long hours.","A woman is working.","4963234016.jpg#4r1e","Žena, která pracuje dlouho.","Pracuje tam žena."
"contradiction","A woman working long hours.","A woman is sleeping.","4963234016.jpg#4r1c","Žena, která pracuje dlouho.","Nějaká žena spí."
"contradiction","Two teenage girls conversing next to lockers.","Girls talking next to the toilet.","3661659196.jpg#3r1c","Dvě dospívající dívky konverzují vedle skříněk.","Holky mluví vedle záchodu."
"entailment","Two teenage girls conversing next to lockers.","People talking next to lockers.","3661659196.jpg#3r1e","Dvě dospívající dívky konverzují vedle skříněk.","Lidé mluví vedle skříněk."
"neutral","Two teenage girls conversing next to lockers.","Girls talking about their problems next to lockers.","3661659196.jpg#3r1n","Dvě dospívající dívky konverzují vedle skříněk.","Holky mluví o svých problémech vedle skříněk."
"neutral","An old woman watches a man look down at some balls on the ground.","An elderly female is stalking a male.","4926115712.jpg#1r1n","Stará žena sleduje muže, jak se dívá na nějaké koule na zemi.","Starší samice pronásleduje samce."
"-","An old woman watches a man look down at some balls on the ground.","A gray haired person is looking at a gentleman.","4926115712.jpg#1r1e","Stará žena sleduje muže, jak se dívá na nějaké koule na zemi.","Šedovlasá osoba se dívá na pána."
"contradiction","An old woman watches a man look down at some balls on the ground.","Two people are sleeping on the train.","4926115712.jpg#1r1c","Stará žena sleduje muže, jak se dívá na nějaké koule na zemi.","Ve vlaku spí dva lidé."
"neutral","Two children, both wearing tan coats, are embracing one another.","Two kids are hugging after surviving a horrible car wreck.","4512171349.jpg#2r1n","Dvě děti, obě v hnědých kabátech, se objímají.","Dvě děti se objímají poté, co přežily hroznou autonehodu."
"entailment","Two children, both wearing tan coats, are embracing one another.","Two kids are hugging.","4512171349.jpg#2r1e","Dvě děti, obě v hnědých kabátech, se objímají.","Dvě děti se objímají."
"contradiction","Two children, both wearing tan coats, are embracing one another.","Two kids are running down a highway.","4512171349.jpg#2r1c","Dvě děti, obě v hnědých kabátech, se objímají.","Dvě děti běží po dálnici."
"neutral","2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.","A couple of child relatives were hugging because they were happy to see each other.","4512171349.jpg#1r1n","Dvě děti, které vypadají jako příbuzné, se poflakují s jedním, který vypadá velmi emotivně a objímá toho druhého.","Pár dětských příbuzných se objímalo, protože byli šťastní, že se vidí."
